# 2025-02-13 12:25:06 /Users/victor/.pyenv/versions/3.12.7/bin/psfexportunicodes
# -o LekeOld-glyphlist.csv --allglyphs LekeOld.ufo

.notdef,
.null,
A,0041
AE,00C6
Aacute,00C1
Acircumflex,00C2
Adieresis,00C4
Agrave,00C0
Aring,00C5
Atilde,00C3
B,0042
C,0043
CR,
Ccedilla,00C7
D,0044
E,0045
Eacute,00C9
Ecircumflex,00CA
Edieresis,00CB
Egrave,00C8
Egrave_alt,
Eth,00D0
F,0046
G,0047
H,0048
I,0049
Iacute,00CD
Icircumflex,00CE
Idieresis,00CF
Igrave,00CC
J,004A
K,004B
L,004C
M,004D
N,004E
Ntilde,00D1
Ntilde_alt,
O,004F
Oacute,00D3
Oacute_alt,
Ocircumflex,00D4
Odieresis,00D6
Ograve,00D2
Oslash,00D8
Otilde,00D5
P,0050
Q,0051
R,0052
S,0053
T,0054
Thorn,00DE
U,0055
Uacute,00DA
Uacute_alt,
Ucircumflex,00DB
Udieresis,00DC
Ugrave,00D9
Ugrave_alt,
V,0056
W,0057
X,0058
Y,0059
Yacute,00DD
Z,005A
a,0061
aacute,00E1
acircumflex,00E2
acute,00B4
adieresis,00E4
ae,00E6
ae_alt,
agrave,00E0
ampersand,0026
aring,00E5
asciicircum,005E
asciitilde,007E
asterisk,002A
at,0040
atilde,00E3
b,0062
backslash,005C
bar,007C
braceleft,007B
braceright,007D
bracketleft,005B
bracketright,005D
c,0063
cedilla,00B8
colon,003A
comma,002C
d,0064
degree,00B0
dollar,0024
e,0065
eacute,00E9
ecircumflex,00EA
edieresis,00EB
egrave,00E8
eight,0038
equal,003D
eth,00F0
exclam,0021
f,0066
five,0035
four,0034
g,0067
germandbls,00DF
grave,0060
greater,003E
h,0068
hyphen,002D
i,0069
iacute,00ED
icircumflex,00EE
idieresis,00EF
igrave,00EC
j,006A
k,006B
l,006C
less,003C
m,006D
mu,
multiply,00D7
n,006E
nine,0039
ntilde,00F1
numbersign,0023
o,006F
ograve,00F2
one,0031
onesuperior,00B9
p,0070
paragraph,00B6
parenleft,0028
parenright,0029
percent,0025
period,002E
periodcentered,00B7
plus,002B
plusminus,00B1
q,0071
question,003F
quotedbl,0022
quotesingle,0027
r,0072
s,0073
semicolon,003B
seven,0037
six,0036
slash,002F
space,0020
t,0074
three,0033
threesuperior,00B3
two,0032
twosuperior,00B2
u,0075
underscore,005F
v,0076
w,0077
x,0078
y,0079
z,007A
zero,0030
